iter	Logloss
0	0.6728151092
1	0.6554721143
2	0.642411514
3	0.6275051301
4	0.615449489
5	0.6052478115
6	0.5945565355
7	0.5846763775
8	0.5772348538
9	0.5699333262
10	0.5637723044
11	0.5572196434
12	0.5522377188
13	0.5473633236
14	0.5427744016
15	0.5382252855
16	0.5336606723
17	0.5288479578
18	0.5252035467
19	0.522070759
20	0.519919876
21	0.5167661202
22	0.5139848343
23	0.5111371705
24	0.50963279
25	0.5084612529
26	0.5064869081
27	0.5046341444
28	0.5032022368
29	0.5023502243
30	0.5005595073
31	0.4990348212
32	0.4974622363
33	0.49635026
34	0.4955155221
35	0.4944365446
36	0.4934987273
37	0.4927504631
38	0.4920547272
39	0.4915128383
40	0.4908701082
41	0.4897151075
42	0.4895000701
43	0.488817937
44	0.488323791
45	0.4877639788
46	0.4870094979
47	0.486023237
48	0.4854738125
49	0.48484369
50	0.4844670968
51	0.4839529724
52	0.4831211731
53	0.4826468836
54	0.4825216808
55	0.4824183642
56	0.4819607838
57	0.4813286441
58	0.4809237944
59	0.4807993529
60	0.4803096046
61	0.4801579435
62	0.4797853288
63	0.4795641592
64	0.4795137536
65	0.4792004621
66	0.4789448507
67	0.4786065619
68	0.4784325919
69	0.4781849856
70	0.477974713
71	0.4777390988
72	0.4773416714
73	0.4770402588
74	0.4768039585
75	0.4765596612
76	0.4761956553
77	0.4759514605
78	0.4756473643
79	0.475341677
80	0.4751563094
81	0.4751010662
82	0.4750864006
83	0.4748921478
84	0.4745797519
85	0.4743099027
86	0.474220587
87	0.4740327591
88	0.4737074989
89	0.4735500919
90	0.4733140793
91	0.4732346449
92	0.4731223157
93	0.473099295
94	0.4730293726
95	0.4726743975
96	0.4724664424
97	0.4723568539
98	0.4721421737
99	0.4718851036
100	0.4716579438
101	0.4716078119
102	0.4715132238
103	0.4711046658
104	0.4710153149
105	0.4707928617
106	0.4707256606
107	0.4705862872
108	0.470474292
109	0.4704076692
110	0.4702868411
111	0.4702190786
112	0.4700485026
113	0.4697992145
114	0.469656416
115	0.4695401099
116	0.4692404428
117	0.4689146822
118	0.4685858841
119	0.4685851266
120	0.4684673121
121	0.4682558332
122	0.46824814
123	0.4682396744
124	0.4681422775
125	0.4680064926
126	0.4680033007
127	0.4679760754
128	0.4678026114
129	0.4677208797
130	0.4676165084
131	0.4673784904
132	0.4670851716
133	0.466874576
134	0.4667031773
135	0.4664706558
136	0.466358274
137	0.4662804154
138	0.4661869264
139	0.4661223495
140	0.4660609766
141	0.465972775
142	0.4659713057
143	0.4658525778
144	0.4657856476
145	0.4656932033
146	0.4656453515
147	0.4656447294
148	0.4655437094
149	0.4655428909
