iter	Logloss
150	0.4653556217
151	0.4652056616
152	0.4651012427
153	0.4649666654
154	0.4648069542
155	0.4647624136
156	0.4647586591
157	0.4647104664
158	0.4646725028
159	0.4645320362
160	0.4643775625
161	0.4643722606
162	0.4641731559
163	0.464166156
164	0.4640799493
165	0.4640128649
166	0.4639361279
167	0.4638865272
168	0.4637799806
169	0.4636531336
170	0.4635461185
171	0.4634693003
172	0.463281192
173	0.4631980464
174	0.4627238649
175	0.4626743133
176	0.4626070634
177	0.4624156762
178	0.4623550417
179	0.4622135618
180	0.4620607667
181	0.4620359709
182	0.4616828406
183	0.4616399592
184	0.4615246019
185	0.4615093302
186	0.4614558298
187	0.4613400912
188	0.4611508331
189	0.4610996702
190	0.4609617478
191	0.4609207752
192	0.4606372146
193	0.4604785972
194	0.4604082001
195	0.4602833361
196	0.4602390985
197	0.4600928785
198	0.4599020902
199	0.459606682
200	0.4592270544
201	0.4589209362
202	0.4588596557
203	0.4588441829
204	0.458729064
205	0.4585084985
206	0.4584539247
207	0.4583912457
208	0.4582549356
209	0.458125475
210	0.4579700836
211	0.4577871469
212	0.457556457
213	0.4573827244
214	0.4573786539
215	0.457374297
216	0.4572972522
217	0.4570674447
218	0.45676685
219	0.4566551582
220	0.4563857733
221	0.4563833477
222	0.4562107771
223	0.4560470552
224	0.4558307061
225	0.4555645158
226	0.4551912013
227	0.4551355127
228	0.4549374799
229	0.45456715
230	0.4544884112
231	0.4544863917
232	0.4542963735
233	0.4539302138
234	0.4538613154
235	0.4537089981
236	0.4535180962
237	0.4532694701
238	0.4532093089
239	0.4529675424
240	0.4527747227
241	0.4526592804
242	0.4526560681
243	0.4525372469
244	0.4525355137
245	0.4525256029
246	0.4524867731
247	0.4522875818
248	0.45228601
249	0.4522614054
250	0.4520765963
251	0.4518458423
252	0.4516808863
253	0.4516382137
254	0.451471136
255	0.451456101
256	0.4511962574
257	0.4511877637
258	0.4510175208
259	0.4509838415
260	0.4509813611
261	0.4509393167
262	0.4509269001
263	0.4508862349
264	0.4508526364
265	0.4507597042
266	0.4505984078
267	0.4500140457
268	0.4500007438
269	0.4499501545
270	0.4498900158
271	0.4496812372
272	0.4491768093
273	0.4491473218
274	0.4487492626
275	0.4485693855
276	0.4484142422
277	0.4482274414
278	0.448116919
279	0.4480169416
280	0.4480043784
281	0.4479000633
282	0.4477945066
283	0.4477821988
284	0.4476245193
285	0.447577041
286	0.4475019638
287	0.4474016802
288	0.4473792093
289	0.4472050775
290	0.4470375216
291	0.4468189249
292	0.446574784
293	0.4464859741
294	0.446414251
295	0.4462665718
296	0.4462276309
297	0.4460733477
298	0.4459011107
299	0.4458989276
300	0.4456410662
301	0.4455527893
302	0.4455106592
303	0.4454649986
304	0.44543676
305	0.4453737194
306	0.4453597475
307	0.4450709049
308	0.4448563222
309	0.4447714986
310	0.4445061276
311	0.444420453
312	0.4443215988
313	0.4441585364
314	0.4440873403
315	0.4439391806
316	0.4438647248
317	0.4438162978
318	0.4437780059
319	0.4437722434
320	0.4437552038
321	0.4437444927
322	0.4436627435
323	0.4436608022
324	0.4434709574
325	0.4433916444
326	0.4433898393
327	0.4433479307
328	0.4432891631
329	0.4431419496
330	0.44287477
331	0.4428684909
332	0.4425840388
333	0.442504652
334	0.4424730628
335	0.4423400128
336	0.4423033407
337	0.4422279895
338	0.4421306048
339	0.4419181631
340	0.44183313
341	0.4416964337
342	0.4416431011
343	0.4416297529
344	0.4416127364
345	0.4415687495
346	0.4414192332
347	0.4413790322
348	0.4413674484
349	0.4413104367
350	0.4412477984
351	0.4410692086
352	0.4410358334
353	0.4409310605
354	0.4407602615
355	0.4406615354
356	0.4406352523
357	0.4404864606
358	0.440351889
359	0.4402892063
360	0.4402065694
361	0.4400797646
362	0.4399909862
363	0.4398004337
364	0.4397569114
365	0.4397508101
366	0.4397065442
367	0.439448669
368	0.4393085123
369	0.4392770634
370	0.4392458551
371	0.4390442285
372	0.4390119007
373	0.4390075451
374	0.4388361071
375	0.4386394025
376	0.4385838233
377	0.4385624358
378	0.4385117084
379	0.4383978606
380	0.4382729629
381	0.4381968499
382	0.4381716843
383	0.4380416565
384	0.4379973087
385	0.4379579248
386	0.4377668163
387	0.4376136165
388	0.4376033275
389	0.4375842904
390	0.4375273358
391	0.4374780091
392	0.437431708
393	0.4371957625
394	0.4370479899
395	0.436921373
396	0.4368851726
397	0.4368368927
398	0.4367514061
399	0.4366050537
400	0.4365446155
401	0.4364473258
402	0.4363792861
403	0.4363461565
404	0.4363188184
405	0.4363143491
406	0.4360904767
407	0.4360515409
408	0.4360211053
409	0.4359962422
410	0.4359480283
411	0.4358961489
412	0.4358368246
413	0.4356146201
414	0.435542976
415	0.4355417106
416	0.4353434243
417	0.4351759897
418	0.4351224656
419	0.4349408957
420	0.4348739209
421	0.4348021855
422	0.4347374379
423	0.4347050999
424	0.4346422593
425	0.4345481532
426	0.4344473602
427	0.4343814279
428	0.4341418592
429	0.4341008169
430	0.4340664182
431	0.4340245793
432	0.4337680484
433	0.4337477384
434	0.4335030854
435	0.4334582831
436	0.4333683485
437	0.4333203291
438	0.4331853528
439	0.4330984748
440	0.4330445035
441	0.4328564571
442	0.4328267103
443	0.4327495298
444	0.4326365895
445	0.4326095744
446	0.4325784827
447	0.4325627315
448	0.4324903338
449	0.432465727
450	0.4324269706
451	0.4324125339
452	0.4323701973
453	0.4323298361
454	0.4322596674
455	0.4321948547
456	0.4321868645
457	0.4321562433
458	0.4320023005
459	0.4319088003
460	0.4318227755
461	0.4317417241
462	0.4316664861
463	0.4316525309
464	0.4313493085
465	0.431099435
466	0.4309698946
467	0.4308557504
468	0.4308326284
469	0.4307743899
470	0.430717116
471	0.4307120122
472	0.4306451359
473	0.4305975376
474	0.4304531696
475	0.4302409113
476	0.4302044118
477	0.4299775552
478	0.4298602533
479	0.4296517843
480	0.4296397613
481	0.4296100006
482	0.4293430146
483	0.429205844
484	0.4291459221
485	0.4290686644
486	0.4288913029
487	0.4288546787
488	0.4286690957
489	0.4286174938
490	0.4285301356
491	0.4283046058
492	0.4282605265
493	0.4282364778
494	0.42823072
495	0.4281625604
496	0.4280872784
497	0.4280046051
498	0.4278456091
499	0.4277524318
